,Genome,Contig,Nitrogenase Set,Position,Location,Group No,GTDB Taxonomy,ncbi_country,Isolation Source,NCBI Taxonomy,ncbi_taxonomy_unfiltered,Organism,Regulon,PredGrowthTemp
43,GB_GCA_000961575.1,LADP01000032.1,HDKEE,"43,46,47,48,49",42734-43558,Group 2,d__Bacteria;p__Bacillota_B;c__Desulfotomaculia;o__Desulfotomaculales;f__Desulfallaceae;g__BRH-c8a;s__BRH-c8a sp000961575,Switzerland: Mt Terri URL; St-Ursanne,Opalinus Clay rock porewater BRC-3 borehole,d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Peptococcaceae;g__;s__,d__Bacteria;x__Terrabacteria group;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Peptococcaceae;x__unclassified Peptococcaceae;s__Peptococcaceae bacterium BRH_c8a,BRH-c8a sp000961575,,
44,GB_GCA_000961585.1,LADN01000053.1,HDKEE,"43,44,45,46,49",42941-44356,,d__Bacteria;p__Bacillota_B;c__Desulfotomaculia;o__Desulfotomaculales;f__Desulfocucumaceae;g__BRHc4a;s__BRHc4a sp000961585,Switzerland: Mt Terri URL; St-Ursanne,Opalinus Clay rock porewater BRC-3 borehole,d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Peptococcaceae;g__;s__,d__Bacteria;x__Terrabacteria group;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Peptococcaceae;x__unclassified Peptococcaceae;s__Peptococcaceae bacterium BRH_c4a,BRHc4a sp000961585,,
45,GB_GCA_000961595.1,LADO01000055.1,HDDKE,"78,81,82,83,84",77862-78683,Group 2,d__Bacteria;p__Bacillota_B;c__Desulfotomaculia;o__Desulfotomaculales;f__Desulfocucumaceae;g__Desulfocucumis;s__Desulfocucumis sp000961595,Switzerland: Mt Terri URL; St-Ursanne,Opalinus Clay rock porewater BRC-3 borehole,d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Peptococcaceae;g__;s__,d__Bacteria;x__Terrabacteria group;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Peptococcaceae;x__unclassified Peptococcaceae;s__Peptococcaceae bacterium BRH_c4b,Desulfocucumis sp000961595,,
46,GB_GCA_000961655.1,LADR01000085.1,HDDKNN,"11,4,5,6,7,8",9697-10521,Group 2,d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfosarcinaceae;g__Desulfatitalea;s__Desulfatitalea sp000961655,Switzerland: Mt Terri URL; St-Ursanne,Opalinus Clay rock porewater BRC-3 borehole,d__Bacteria;p__Thermodesulfobacteriota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfosarcinaceae;g__Desulfatitalea;s__,d__Bacteria;p__Thermodesulfobacteriota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfosarcinaceae;g__Desulfatitalea;x__unclassified Desulfatitalea;s__Desulfatitalea sp. BRH_c12,Desulfatitalea sp000961655,,
47,GB_GCA_000961725.1,LADS01000004.1,HDKEN,"67,70,71,77,78",84368-85195,Group 2,d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfocapsaceae;g__Desulforhopalus;s__Desulforhopalus sp000961725,Switzerland: Mt Terri URL; St-Ursanne,Opalinus Clay rock porewater BRC-3 borehole,d__Bacteria;p__Thermodesulfobacteriota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfobulbaceae;g__;s__,d__Bacteria;p__Thermodesulfobacteriota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfobulbaceae;x__unclassified Desulfobulbaceae;s__Desulfobulbaceae bacterium BRH_c16a,Desulforhopalus sp000961725,,
48,GB_GCA_000961745.1,LAEA01000099.1,HDKEN,"14,15,20,21,22",10110-11465,,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__BRH-c57;s__BRH-c57 sp000961745,Switzerland: Mt Terri URL; St-Ursanne,Opalinus Clay rock porewater BRC-3 borehole,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__;s__,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;x__unclassified Rhodospirillaceae;s__Rhodospirillaceae bacterium BRH_c57,BRH-c57 sp000961745,,
49,GB_GCA_000985875.1,CCRI01000031.1,HDKENN,"17,18,19,20,21,29",17020-17916,Group 1,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Neorhizobium;s__Neorhizobium galegae_C,none,none,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Rhizobiaceae;g__Neorhizobium;s__Neorhizobium galegae,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Rhizobiaceae;x__Rhizobium/Agrobacterium group;g__Neorhizobium;s__Neorhizobium galegae;x__Neorhizobium galegae bv. officinalis,Neorhizobium galegae_C,,
50,GB_GCA_001005265.1,CP011392.1,HDDKN,"598,599,600,601,604",556606-557970,,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__Dehalococcoidales;f__Dehalococcoidaceae;g__Dehalogenimonas;s__Dehalogenimonas sp001005265,Canada: Toronto,water,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__;f__;g__Dehalogenimonas;s__,d__Bacteria;x__Terrabacteria group;p__Chloroflexota;c__Dehalococcoidia;g__Dehalogenimonas;x__unclassified Dehalogenimonas;s__Dehalogenimonas sp. WBC-2,Dehalogenimonas sp001005265,,
51,GB_GCA_001029295.1,LDXJ01000058.1,HDKEN,"156,157,158,160,161",167668-168495,Group 1,d__Bacteria;p__Bacillota_B;c__Desulfitobacteriia;o__Desulfitobacteriales;f__Desulfitobacteriaceae;g__Acididesulfobacillus;s__Acididesulfobacillus sp001029295,Spain,sulfidogenic bioreactor run at pH 2.4 which was inoculated with two (moderately) acidophilic sulfate reducing isolates and an enrichment culture of an anaerobic streamer mat from an acidic (pH 2.5) stream draining of an abandoned copper mine in south-west Spain,d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Peptococcaceae;g__;s__,d__Bacteria;x__Terrabacteria group;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Peptococcaceae;x__unclassified Peptococcaceae;s__Peptococcaceae bacterium CEB3,Acididesulfobacillus sp001029295,,
52,GB_GCA_001044195.1,LFCU01000132.1,HDK,"2,3,6",1156-2529,,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Chromatiales;f__Chromatiaceae;g__Achromatium;s__Achromatium palustre,USA: MA; Cape Cod; Little Sippewissett Salt Marsh,salt march tide pool sediment,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Thiotrichales;f__Thiotrichaceae;g__Achromatium;s__Candidatus Achromatium palustre,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Thiotrichales;f__Thiotrichaceae;g__Achromatium;s__Candidatus Achromatium palustre,Achromatium palustre,,
53,GB_GCA_001184205.1,LBMP01000004.1,HDKENN,"387,388,391,392,393,396",423231-424607,,d__Bacteria;p__Desulfobacterota;c__Desulfarculia;o__Desulfarculales;f__Desulfarculaceae;g__Desulfocarbo;s__Desulfocarbo indianensis,USA: New Lebanon; Sulllivan County; IN,water,d__Bacteria;p__Thermodesulfobacteriota;c__Desulfarculia;o__Desulfarculales;f__Desulfarculaceae;g__Desulfocarbo;s__Desulfocarbo indianensis,d__Bacteria;p__Thermodesulfobacteriota;c__Desulfarculia;o__Desulfarculales;f__Desulfarculaceae;g__Desulfocarbo;s__Desulfocarbo indianensis,Desulfocarbo indianensis,,
54,GB_GCA_001314865.1,LJZR01000021.1,HDKE,"66,67,68,71",77118-77993,Group 1,d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Phormidesmiales;f__Phormidesmiaceae;g__Phormidesmis;s__Phormidesmis priestleyi_B,none,enrichment culture HLUCC-A from microbial mat sample; contains cyanobacterium Phormidesmis priestleyi ANA and associated heterotrophs,d__Bacteria;p__Cyanobacteriota;c__Cyanophyceae;o__Pseudanabaenales;f__Leptolyngbyaceae;g__Phormidesmis;s__Phormidesmis priestleyi,d__Bacteria;x__Terrabacteria group;x__Cyanobacteriota/Melainabacteria group;p__Cyanobacteriota;c__Cyanophyceae;o__Pseudanabaenales;f__Leptolyngbyaceae;g__Phormidesmis;s__Phormidesmis priestleyi;x__Phormidesmis priestleyi Ana,Phormidesmis priestleyi_B,,
55,GB_GCA_001314905.1,LJZT01000032.1,HDKEN,"1,2,4,5,8",136-1557,,d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Sodalinema;s__Sodalinema sp001314905,none,enrichment culture HLUCC-O from microbial mat sample; contains cyanobacterium Phormidium OSCR and associated heterotrophs,d__Bacteria;p__Cyanobacteriota;c__Cyanophyceae;o__Oscillatoriales;f__Oscillatoriaceae;g__Phormidium;s__,d__Bacteria;x__Terrabacteria group;x__Cyanobacteriota/Melainabacteria group;p__Cyanobacteriota;c__Cyanophyceae;x__Oscillatoriophycideae;o__Oscillatoriales;f__Oscillatoriaceae;g__Phormidium;x__unclassified Phormidium;s__Phormidium sp. OSCR,Sodalinema sp001314905,,
56,GB_GCA_001443525.1,LKPX01000006.1,HDK,"64,66,69",66178-67566,,d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfatirhabdiaceae;g__RAAP-1;s__RAAP-1 sp001443525,USA: Colorado; Golden; Colorado School of Mines,100% of the reads came from bioreactor sample SAMN04151528,d__Bacteria;p__Thermodesulfobacteriota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfobacteraceae;g__;s__,d__Bacteria;p__Thermodesulfobacteriota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfobacteraceae;x__unclassified Desulfobacteraceae;s__Desulfobacteraceae bacterium RAAP-1,RAAP-1 sp001443525,,
57,GB_GCA_001443525.1,LKPX01000013.1,HDKN,"53,54,55,58",52649-55381,,d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfatirhabdiaceae;g__RAAP-1;s__RAAP-1 sp001443525,USA: Colorado; Golden; Colorado School of Mines,100% of the reads came from bioreactor sample SAMN04151528,d__Bacteria;p__Thermodesulfobacteriota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfobacteraceae;g__;s__,d__Bacteria;p__Thermodesulfobacteriota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfobacteraceae;x__unclassified Desulfobacteraceae;s__Desulfobacteraceae bacterium RAAP-1,RAAP-1 sp001443525,,
58,GB_GCA_001462245.1,LIUG01000026.1,HDDKK,"12,15,16,18,20",13510-14328,Group 2,d__Bacteria;p__Fibrobacterota;c__Fibrobacteria;o__Fibrobacterales;f__Fibrobacteraceae;g__Fibromonas;s__Fibromonas termitidis,Australia,termite gut,d__Bacteria;p__Fibrobacterota;c__Fibrobacteria;o__Fibromonadales;f__Fibromonadaceae;g__Candidatus Fibromonas;s__Candidatus Fibromonas termitidis,d__Bacteria;x__FCB group;p__Fibrobacterota;c__Fibrobacteria;o__Fibromonadales;f__Fibromonadaceae;g__Candidatus Fibromonas;s__Candidatus Fibromonas termitidis,Fibromonas termitidis,,
59,GB_GCA_001462245.1,LIUG01000033.1,HDK,"59,62,63",59327-60145,Group 2,d__Bacteria;p__Fibrobacterota;c__Fibrobacteria;o__Fibrobacterales;f__Fibrobacteraceae;g__Fibromonas;s__Fibromonas termitidis,Australia,termite gut,d__Bacteria;p__Fibrobacterota;c__Fibrobacteria;o__Fibromonadales;f__Fibromonadaceae;g__Candidatus Fibromonas;s__Candidatus Fibromonas termitidis,d__Bacteria;x__FCB group;p__Fibrobacterota;c__Fibrobacteria;o__Fibromonadales;f__Fibromonadaceae;g__Candidatus Fibromonas;s__Candidatus Fibromonas termitidis,Fibromonas termitidis,,
60,GB_GCA_001493195.1,FAXN01000036.1,HDK,"11,12,9",5479-6945,,d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurovaceae;g__BN30871;s__BN30871 sp001493195,none,hydrocarbon-contaminated sulfidic aquifer,d__Bacteria;p__Campylobacterota;c__Epsilonproteobacteria;o__Campylobacterales;f__Sulfurovaceae;g__Sulfurovum;s__,d__Bacteria;p__Campylobacterota;c__Epsilonproteobacteria;o__Campylobacterales;f__Sulfurovaceae;g__Sulfurovum;x__environmental samples;s__Sulfurovum sp. enrichment culture clone C5,BN30871 sp001493195,,
61,GB_GCA_001509375.1,LGFT01000081.1,HDK,"1,4,5",435-1250,Group 2,d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanotrichales;f__Methanotrichaceae;g__Methanocrinis;s__Methanocrinis harundinacea_D,USA:Alaska; North Slope; Schrader Bluff formation,oil reservoir sample SB1,d__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanotrichales;f__Methanotrichaceae;g__Methanothrix;s__Methanothrix harundinacea,d__Archaea;p__Euryarchaeota;x__Stenosarchaea group;c__Methanomicrobia;o__Methanotrichales;f__Methanotrichaceae;g__Methanothrix;s__Methanothrix harundinacea,Methanocrinis harundinacea_D,,
62,GB_GCA_001510895.1,LPWA01000161.1,HDKN,"11,13,14,8",6966-8507,,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Mesorhizobium;s__Mesorhizobium loti_A,Brazil: Vazante; Minas Gerais,Soil from zinc mining area,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Phyllobacteriaceae;g__Mesorhizobium;s__Mesorhizobium loti,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Phyllobacteriaceae;g__Mesorhizobium;s__Mesorhizobium loti,Mesorhizobium loti_A,,
63,GB_GCA_001516045.1,LOEW01000092.1,HDKEN,"11,12,13,14,15",11132-12427,,d__Bacteria;p__Bacillota_B;c__Desulfitobacteriia;o__Desulfitobacteriales;f__Desulfitobacteriaceae;g__Desulfosporosinus;s__Desulfosporosinus sp001516045,Switzerland: Mt Terri URL; St-Ursanne,Opalinus Clay rock porewater BRC-3 borehole,d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Desulfitobacteriaceae;g__Desulfosporosinus;s__,d__Bacteria;x__Terrabacteria group;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Desulfitobacteriaceae;g__Desulfosporosinus;x__unclassified Desulfosporosinus;s__Desulfosporosinus sp. BRH_c37,Desulfosporosinus sp001516045,,
64,GB_GCA_001516055.1,LOEZ01000019.1,HDDKE,"84,85,86,87,90",80112-81485,,d__Bacteria;p__Bacillota_B;c__Desulfitobacteriia;o__Desulfitobacteriales;f__Syntrophobotulaceae;g__Gracilibacter;s__Gracilibacter sp001516055,Switzerland: Mt Terri URL; St-Ursanne,Opalinus Clay rock porewater BRC-3 borehole,d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Gracilibacteraceae;g__Gracilibacter;s__,d__Bacteria;x__Terrabacteria group;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Gracilibacteraceae;g__Gracilibacter;x__unclassified Gracilibacter;s__Gracilibacter sp. BRH_c7a,Gracilibacter sp001516055,,
65,GB_GCA_001577715.1,LQAA01000036.1,HDK,"11,6,8",9728-10555,Group 3anfvnf,d__Bacteria;p__Desulfobacterota;c__Desulfarculia;o__Adiutricales;f__Adiutricaceae;g__Adiutrix;s__Adiutrix intracellularis,USA: Mt. Pinos; Los Padres National Forest; CA,bacterial endosymbionts found in Trichonympha flagellates filtered from termite gut,d__Bacteria;p__Thermodesulfobacteriota;c__Desulfarculia;o__Candidatus Adiutricales;f__Candidatus Adiutricaceae;g__Candidatus Adiutrix;s__Candidatus Adiutrix intracellularis,d__Bacteria;p__Thermodesulfobacteriota;c__Desulfarculia;o__Candidatus Adiutricales;f__Candidatus Adiutricaceae;g__Candidatus Adiutrix;s__Candidatus Adiutrix intracellularis,Adiutrix intracellularis,,
66,GB_GCA_001602645.1,LUYE01000048.1,HDKEN,"16,17,18,19,22",18221-19537,,d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanotrichales;f__Methanotrichaceae;g__Methanocrinis;s__Methanocrinis sp001602645,Australia,3 replicate cellulose-degrading anaerobic digesters sampled at day 96 and day 362,d__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__;g__;s__,d__Archaea;p__Euryarchaeota;x__Stenosarchaea group;c__Methanomicrobia;o__Methanosarcinales;x__unclassified Methanosarcinales;s__Methanosarcinales archaeon Methan_01,Methanocrinis sp001602645,,
67,GB_GCA_001602925.1,LUZT01000006.1,HDK,"395,398,400",407468-408289,Group 3anfvnf,d__Bacteria;p__Bacteroidota;c__Chlorobiia;o__Chlorobiales;f__Chlorobiaceae;g__Chlorobaculum;s__Chlorobaculum sp001602925,Australia,3 replicate cellulose-degrading anaerobic digesters sampled at day 96 and day 362,d__Bacteria;p__Chlorobiota;c__Chlorobiia;o__Chlorobiales;f__;g__;s__,d__Bacteria;x__FCB group;x__Bacteroidota/Chlorobiota group;p__Chlorobiota;c__Chlorobiia;o__Chlorobiales;x__unclassified Chlorobiales;s__Chlorobiales bacterium Clorobi_01,Chlorobaculum sp001602925,,
68,GB_GCA_001602925.1,LUZT01000011.1,HDKENN,"100,101,102,103,96,99",105945-107324,,d__Bacteria;p__Bacteroidota;c__Chlorobiia;o__Chlorobiales;f__Chlorobiaceae;g__Chlorobaculum;s__Chlorobaculum sp001602925,Australia,3 replicate cellulose-degrading anaerobic digesters sampled at day 96 and day 362,d__Bacteria;p__Chlorobiota;c__Chlorobiia;o__Chlorobiales;f__;g__;s__,d__Bacteria;x__FCB group;x__Bacteroidota/Chlorobiota group;p__Chlorobiota;c__Chlorobiia;o__Chlorobiales;x__unclassified Chlorobiales;s__Chlorobiales bacterium Clorobi_01,Chlorobaculum sp001602925,,
69,GB_GCA_001602955.1,LVAC01000011.1,HDK,"53,54,56",51743-53287,,d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurospirillaceae;g__Sulfurospirillum;s__Sulfurospirillum sp001602955,Australia,3 replicate cellulose-degrading anaerobic digesters sampled at day 96 and day 362,d__Bacteria;p__Campylobacterota;c__Epsilonproteobacteria;o__Campylobacterales;f__;g__;s__,d__Bacteria;p__Campylobacterota;c__Epsilonproteobacteria;o__Campylobacterales;x__unclassified Campylobacterales;s__Campylobacterales bacterium Epsilon_01,Sulfurospirillum sp001602955,,
70,GB_GCA_001603035.1,LVAS01000062.1,HDKKN,"10,11,12,6,9",9293-10660,,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Saccharofermentanales;f__Saccharofermentanaceae;g__Firm-13;s__Firm-13 sp001603035,Australia,3 replicate cellulose-degrading anaerobic digesters sampled at day 96 and day 362,d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__;g__;s__,d__Bacteria;x__Terrabacteria group;p__Bacillota;c__Clostridia;o__Eubacteriales;x__unclassified Eubacteriales;s__Clostridiales bacterium Firm_13,Firm-13 sp001603035,,
71,GB_GCA_001603055.1,LVAZ01000212.1,HDK,"12,8,9",8189-9013,Group 2,d__Bacteria;p__Verrucomicrobiota;c__Lentisphaeria;o__Oligosphaerales;f__Lenti-02;g__Lenti-02;s__Lenti-02 sp001603055,Australia,3 replicate cellulose-degrading anaerobic digesters sampled at day 96 and day 362,d__Bacteria;p__Lentisphaerota;c__Lentisphaeria;o__Victivallales;f__;g__;s__,d__Bacteria;x__PVC group;p__Lentisphaerota;c__Lentisphaeria;o__Victivallales;x__unclassified Victivallales;s__Victivallales bacterium Lenti_02,Lenti-02 sp001603055,,
72,GB_GCA_001603335.1,LUYR01000161.1,HDK,"3,4,5",2139-3017,Group 1,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__Alpha-05;s__Alpha-05 sp001603335,Australia,3 replicate cellulose-degrading anaerobic digesters sampled at day 96 and day 362,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodospirillales;f__;g__;s__,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodospirillales;x__unclassified Rhodospirillales;s__Rhodospirillales bacterium Alpha_05,Alpha-05 sp001603335,,
73,GB_GCA_001603805.1,LUZY01000003.1,HDKEN,"128,129,130,132,133",154601-155470,Group 1,d__Bacteria;p__Deferribacterota;c__Deferribacteres;o__Deferribacterales;f__Denitrovibrionaceae;g__Geovibrio;s__Geovibrio sp001603805,Australia,3 replicate cellulose-degrading anaerobic digesters sampled at day 96 and day 362,d__Bacteria;p__Deferribacterota;c__Deferribacteres;o__Deferribacterales;f__;g__;s__,d__Bacteria;p__Deferribacterota;c__Deferribacteres;o__Deferribacterales;x__unclassified Deferribacterales;s__Deferribacterales bacterium Deferri_01,Geovibrio sp001603805,,
74,GB_GCA_001603845.1,LUZZ01000315.1,HDKKE,"2,5,6,8,9",1163-1987,Group 2,d__Bacteria;p__Desulfobacterota;c__Syntrophobacteria;o__Syntrophobacterales;f__Syntrophobacteraceae;g__SbD1;s__SbD1 sp001603845,Australia,3 replicate cellulose-degrading anaerobic digesters sampled at day 96 and day 362,d__Bacteria;p__Thermodesulfobacteriota;c__Syntrophobacteria;o__Syntrophobacterales;f__;g__;s__,d__Bacteria;p__Thermodesulfobacteriota;c__Syntrophobacteria;o__Syntrophobacterales;x__unclassified Syntrophobacterales;s__Syntrophobacterales bacterium Delta_01,SbD1 sp001603845,,
75,GB_GCA_001603905.1,LVAE01000048.1,HDK,"48,49,50",46899-48251,,d__Bacteria;p__Fibrobacterota;c__Fibrobacteria;o__Fibrobacterales;f__Fibrobacteraceae;g__Fibrobacter;s__Fibrobacter sp001603905,Australia,3 replicate cellulose-degrading anaerobic digesters sampled at day 96 and day 362,d__Bacteria;p__Fibrobacterota;c__Fibrobacteria;o__Fibrobacterales;f__;g__;s__,d__Bacteria;x__FCB group;p__Fibrobacterota;c__Fibrobacteria;o__Fibrobacterales;x__unclassified Fibrobacterales;s__Fibrobacterales bacterium Fibro_02,Fibrobacter sp001603905,,
76,GB_GCA_001604135.1,LVAT01000020.1,HDK,"22,23,24",24269-25111,Group 2,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Saccharofermentanales;f__Saccharofermentanaceae;g__Saccharofermentans;s__Saccharofermentans sp001604135,Australia,3 replicate cellulose-degrading anaerobic digesters sampled at day 96 and day 362,d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__;g__;s__,d__Bacteria;x__Terrabacteria group;p__Bacillota;c__Clostridia;o__Eubacteriales;x__unclassified Eubacteriales;s__Clostridiales bacterium Firm_14,Saccharofermentans sp001604135,,
77,GB_GCA_001604185.1,LVAV01000054.1,HDKEN,"59,61,62,64,65",75467-76315,Group 2,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Saccharofermentanales;f__Saccharofermentanaceae;g__Firm-16;s__Firm-16 sp001604185,Australia,3 replicate cellulose-degrading anaerobic digesters sampled at day 96 and day 362,d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__;g__;s__,d__Bacteria;x__Terrabacteria group;p__Bacillota;c__Clostridia;o__Eubacteriales;x__unclassified Eubacteriales;s__Clostridiales bacterium Firm_16,Firm-16 sp001604185,,
78,GB_GCA_001604385.1,LVBK01000047.1,HDKKE,"10,4,7,8,9",7765-9132,,d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Teretinema;s__Teretinema sp001604385,Australia,3 replicate cellulose-degrading anaerobic digesters sampled at day 96 and day 362,d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__;g__;s__,d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;x__unclassified Spirochaetales;s__Spirochaetales bacterium Spiro_09,Teretinema sp001604385,,
79,GB_GCA_001604405.1,LVBL01000030.1,HDKENN,"11,14,15,16,17,18",10043-10867,Group 2,d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Teretinema;s__Teretinema sp001604405,Australia,3 replicate cellulose-degrading anaerobic digesters sampled at day 96 and day 362,d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__;g__;s__,d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;x__unclassified Spirochaetales;s__Spirochaetales bacterium Spiro_10,Teretinema sp001604405,,
